period,video_id,title,channel,published_at,duration_seconds,format_type,view_count,like_count,comment_count
2020,RbRYV1H8og0,(Spicy Food Eating) - Fresh Tofu with Chillies - mukbang ASMR | Sisters Eating #Shorts,Spicy Momo,2020-11-11,22,shortform,164643449,0,0
2020,N2dsnGc7TFk,"Raiden X 찬열 CHANYEOL 'Yours (Feat. 이하이, 창모)' MV",SMTOWN,2020-05-12,237,longform,112268280,2324198,285886
2020,Ec7LcvWPDQI,"수제초콜릿 Amazing Chocolate Making Process, Chocolate Master - Chocolate Factory in Korea",FoodyTrip 푸디트립,2020-06-03,1017,longform,68588331,654098,20810
2020,xLD8oWRmlAE,Feel the Rhythm of KOREA: BUSAN,Imagine Your Korea,2020-07-30,101,longform,54209873,115632,4655
2020,EAzgrYJG9iI,Tik tok jimin abs,옥타비아 Army Bangtan,2020-08-21,8,longform,56604393,243553,2059
2020,3P1CnWI62Ik,Feel the Rhythm of KOREA: SEOUL,Imagine Your Korea,2020-07-30,97,longform,53687087,275706,15650
2020,5UQzXbizT-s,"Loco (로꼬), Punch (펀치) - Say Yes (달의 연인 - 보보경심 려 OST Part 2)(Color Coded Lyrics Han/Rom/Eng/가사)",Kkura곰,2020-08-15,219,longform,49276798,262239,2248
2020,dQ_lCmB2hfk,Feel the Rhythm of KOREA: JEONJU,Imagine Your Korea,2020-07-30,99,longform,48735443,89726,3063
2020,RdzvyvGcOYQ,Feel the Rhythm of KOREA: GANGNEUNG,Imagine Your Korea,2020-10-13,117,longform,48633372,86112,3826
2020,CitIMlaa8To,Feel the Rhythm of KOREA: MOKPO,Imagine Your Korea,2020-10-13,108,longform,48610298,80025,3317
2020,R2GeUF_xm1Y,Feel the Rhythm of KOREA: ANDONG,Imagine Your Korea,2020-10-13,109,longform,44472066,77978,3048
2020,t2e2IjHIdKs,(Spicy Food Eating)! Best Eating Spicy Chillies! Sisters Eating Spicy Chillies daily #shorts,Spicy Momo,2020-11-07,29,shortform,41675488,1130657,2228
2020,xHNkyPNEiJw,(Spicy Food Eating) - Spicy Chillies Fry Rice - Extreme Spicy | Sisters Eating #Shorts,Spicy Momo,2020-11-10,25,shortform,29638180,696375,1170
2020,Xsc6lNDjwpQ,Tik tok bts telfon,Amanda eka Meylyna,2020-03-20,10,longform,30909832,780130,7650
2020,9oLvnHLKeMY,🔥Viaje a COREA DEL NORTE 🇰🇵 | #CoreaDelNorte Ep.1,Alex Tienda,2020-01-12,2612,longform,28395466,763495,30416
2020,oLWXEIfQRdQ,Korean WhatsApp status video Viral Chinese ladki video,Aamer Shaikh,2020-10-25,31,longform,21143880,1099502,1431
2020,Sw6Q2F-Tuiw,🔥Viajé a Corea del Norte y ME PROHIBIERON salir del HOTEL 🇰🇵 | #CoreaDelNorte Ep.2,Alex Tienda,2020-01-16,1813,longform,20300078,545844,29513
2020,YS10Cdaz2Kk,[ENG｜단독 풀버전] 비긴어게인 코리아 '길' ｜ 눈물바다가 된 비긴코 버스킹 현장😢,Beginagain 비긴어게인,2020-07-30,868,longform,18695912,308750,13262
2020,gRV8pMtyzvI,Tears,소찬휘 - Topic,2020-04-24,237,longform,16537695,62739,77
2020,M3QlaPh4QMo,Black pink vampire vs bts vampire,Nocternity,2020-12-15,27,longform,14735072,1104757,21162
2020,JTA3JEsvXvw,🔥Viajé a la frontera de COREA DEL NORTE 🇰🇵DMZ | #CoreaDelNorte Ep.3,Alex Tienda,2020-01-26,1795,longform,14088296,422740,25003
2020,qzGOkg5BYQY,She Escaped North Korea (to Chicago),Drew Binsky,2020-07-14,706,longform,13902107,283466,13211
2020,2KOmFx0Vsps,(Spicy Food Eating) - Rice with Chop Chillies - Extreme Spicy | Sisters Eating #Shorts,Spicy Momo,2020-11-11,15,shortform,14647446,344380,1075
2020,o0M0XgpvjvQ,This Love - Davichi (Soundtrack Descendants Of The Sun) || Video Lirik & Terjemahan Bahasa Indonesia,SekutEverywhere,2020-12-23,230,longform,12762393,119106,1402
2020,XgNMMiv89HY,(Spicy Food Eating) - Rice with 5 kind of Chillies - Spicy mukbang ASMR #Shorts,Spicy Momo,2020-11-11,29,shortform,12965483,364384,503
2020,-rZkdPXP6H4,What happened to Otto Warmbier in North Korea? | DW Documentary,DW Documentary,2020-11-27,2546,longform,12406134,125947,40517
2020,uQnTe26tpJE,Korea Street Food SQUID SASHIMI Pohang Korea Seafood 04 포항 죽도시장 순자네 오징어회,Pohang.guy.포항.아재,2020-10-10,1318,longform,12063039,57598,3218
2020,Jn7RU84HKIs,🔥LOGRÉ SALIR de COREA DEL NORTE 🇰🇵 #CoreaDelNorte 8/8 FINAL,Alex Tienda,2020-03-09,4158,longform,11716874,360190,41727
2020,EexZjx3YOuQ,The Great Game (Full Episode) | Inside North Korea,National Geographic,2020-12-13,2843,longform,11120534,79803,7501
2020,HhAtTKA1hks,Surprising images from inside North Korea - BBC REEL,BBC Global,2020-02-11,336,longform,10425858,116072,4949
2020,mNsx0Nqryos,3 Things You Absolutely Cannot Do in North Korea,Drew Binsky,2020-01-26,210,longform,10255115,159779,10404
2020,0cjKE2zaDig,Portugal 7 - 0 North Korea | Extended highlights | World Cup 2010,lapse football,2020-07-13,484,longform,10195877,104677,4652
2020,RO4MSOJqdtw,Where Is Kim Jong-un? How Experts Track North Korea’s Leader | NYT News,The New York Times,2020-04-26,482,longform,10057031,79599,10416
2020,TirJAGSY4BA,Inside Haesindang Park,Gennie Kim,2020-09-13,35,longform,9774202,68227,1353
2020,r4Wj7CncniE,"🇰🇷 Prayer in Public, South Korea",Daud Kim,2020-01-24,398,longform,9284050,500027,41017
2020,uT9m08FxYVg,🎗Meeting a survivor from S. Korea’s biggest maritime disaster: Sewol Ferry Tragedy,KOREA NOW,2020-01-15,565,longform,8642000,260401,8549
2020,3gLY-VOYgj4,마샤와 곰 🍰🤗🍭달콤함과 즐거움🍰🤗🍭Masha and the Bear,마샤와 곰,2020-02-28,1520,longform,8287412,0,0
2020,69O1FyBcnR8,COME ENTRARE IN COREA DEL NORD DA SOLI 🇰🇵 (episodio 1),Progetto Happiness,2020-01-22,1240,longform,8235160,163127,6333
2020,PYd9gd6sNMY,North Korea In The Age Of Trump,VICE News,2020-01-24,1217,longform,7860467,104560,12629
2020,-_o0y8rxG7E,The Octonauts' Party Song! (Korean) | Cartoons for Kids,Octonauts,2020-07-08,107,longform,7662384,4839,0
2020,VOvVlivThJg,Consonant version | Sing Hangul l Korean Alphabet Song,Hello Carrie Hangul Korean Alphabet,2020-07-02,558,longform,6548147,11514,0
2020,pQIGOTs6XWg,La journée infernale d'un lycéen en Corée,Documentaire Société,2020-10-03,336,longform,6277607,147266,9810
2020,DKsj5mCR7qs,Chollima On The Wing - DPRK Music Video,Comrade Chumbucket,2020-05-10,165,longform,6082538,80464,5857
2020,AKjEe22bKIY,"What Happens to North Korea if Kim Jong-Un Dies? Nuclear Weapons, Disappearances & the Kim Family",Behind the News,2020-05-14,477,longform,6071262,72377,436
2020,9djZz-uJBK4,"Sketch Your Korea: Nami Island, the Island of Romance [Travel-a-wish] EP1",Imagine Your Korea,2020-09-11,299,longform,6011906,856,39
2020,eXaIpTj3vOs,Ryugyong Hotel: North Korea’s Hotel of Doom,Geographics,2020-01-30,1480,longform,5947787,132241,7272
2020,2cf3nqBzWLs,Making amazing jewel chocolate by chocolate artist - Handmade Chocolate factory in Korea,Yummy Yammy,2020-05-24,989,longform,5780148,63281,1561
2020,EkwdBXovh4s,Weird Things That Only Exist in North Korea,The Infographics Show,2020-08-02,642,longform,5363108,83073,3007
